country,site,county,turbine_manufacturer,number_of_turbines,capacity_per_turbine,total_capacity,UKW_stake,other_coowners,grid_connection_capacity,site_developer,asquired_from,asquired_month,asquired_year
Scotland,Kildrummy Wind Farm,Aberdeenshire,Enercon,8,2.3MW,18.4MW,100,,18.4MW,Npower Renewables (RWE Group),BayWa,,
Scotland,Stroupster Wind Farm,Caithness,Enercon E70,13,2.3MW,29.9MW,100,,29.9MW,Npower Renewables (RWE Group),BayWa,,
Scotland,Tom nan Clach,Nairnshire,Vestas V112,13,,39.1MW,75,,39.1MW,Infinergy,Belltown Power,,
Scotland,Glen Kyllachy,Inverness,Nordex N90,20,2.425MW,48.5MW,100,,48.5MW,,RWE,,
Scotland,Dunmaglass,Highlands,GE,33,2.85MW,94MW,35.5,SSE,94MW,SSE,SSE,,
Scotland,Corriegarth,Highlands,Enercon E82-E4,23,3.02MW,69.5MW,100,,69.5MW,Invenergy and North British Wind Power,Invenergy,,
Scotland,Stronelairg,Highlands,Vestas V122 and Vestas V117,13+53,3.45MW,227.7MW,35.5,SSE,227.7MW,SSE,SSE,,
Scotland,Braes of Doune,Stirlingshire,Vestas V80,36,2MW,72MW,100,,72MW,,SSE and Hermes GPE LLP,March,2013
Scotland,Drone Hill,Scottish Borders,Nordex N60,22,1.3MW,28.6MW,51.6,Swiss Life Asset Management,28.6MW,,AES,,
Scotland,Carcant Wind Farm,Scottish Borders,Siemens,3,2.3MW,6.9MW,100,,6MW,,SSE,,
Scotland,Langhope Rig,Scottish Borders,GE xle,10,1.6MW,16.0MW,100,,16.0MW,SSE,GE,,
England,Middlemoor Wind Farm,Northumberland,Vestas V90,18,3.0MW,54MW,49,,54MW,,Innogy,,
Scotland,Kype Muir Extension,South Lanarkshire,Nordex 3.6MW and Nordex 4.8MW,4+11,3.6MW and 4.8MW,67.2MW,65,,67.2MW,,Banks Renewables Limited and Onpath Energy,December,2023
Scotland,Dalquhandy Wind Farm,South Lanarkshire,Vestas V136,10,4.2MW,42MW,100,,42MW,,BayWa r.e.,,
Scotland,Douglas West,South Lanarkshire,Vestas V136,13,,45MW,100,,45MW,,Blue Energy,,
Scotland,Andershaw,South Lanarkshire,Vestas V117,11,,35MW,67.35,,35MW,,Statkraft,September,2021
Scotland,Clyde North,South Lanarkshire,Siemens,47,2.3MW,108.1MW,28.2,Clyde Windfarm (Scotland) SPV,108.1MW,SSE,,,
Scotland,Clyde Central,South Lanarkshire,Siemens,49,2.3MW,112.1MW,28.2,Clyde Windfarm (Scotland) SPV,112.1MW,SSE,,,
Scotland,Clyde South,South Lanarkshire,Siemens,56,2.3MW,128.8MW,28.2,Clyde Windfarm (Scotland) SPV,128.8MW,SSE,,,
Scotland,Clyde Extension,South Lanarkshire,Siemens,54,3.2MW,173MW,28.2,Clyde Windfarm (Scotland) SPV,173MW,SSE,,,
Scotland,Twentyshilling,Dumfries and Galloway,Vestas V117,9,4.2MW,37.8MW,100,,37.8MW,,Statkraft,,
Scotland,Windy Rig,Dumfries and Galloway,Vestas V112,12,3.6MW,43.2MW,100,,43.2MW,,Statkraft,,
Scotland,South Kyle,East Ayrshire,Vestas,50,,240MW,100,,240MW,,Vattenfall,,
Scotland,North Rhins Wind Farm,Dumfries and Galloway,Vestas V80,11,2MW,22MW,51.6,Swiss Life Asset Management,22MW,,AES,,
England,Walney,Cumbria,Siemens,102,3.6MW,367.2MW,25.1,Orsted and PGGM,367.2MW,,SSE,,
England,Hornsea 1,East Riding of Yorkshire,Siemens,174,7MW,1200MW,12.5,Orsted and GIP and TRIG and Equitix,1200MW,,GIP,,
England,Sixpenny Wood Wind Farm,East Riding of Yorkshire,Senvion MM92,10,2.05MW,20.5MW,51.6,Swiss Life Asset Management,20.5MW,,AES,,
England,Humber Gateway,East Riding of Yorkshire,Vestas V112,73,3MW,219MW,38,RWE,219MW,,RWE,,
England,Bishopthorpe Wind Farm,Lincolnshire,Senvion MM92,8,2.05MW,16.4MW,67.35,,16.4MW,,Statkraft,September,2021
England,Lindhurst Wind Farm,Nottinghamshire,Vestas V90,5,1.8MW,9MW,49,,9MW,,Innogy,,
England,Bicker Fen,Lincolnshire,Senvion MM82,13,2.05MW,26.7MW,80,,26.7MW,,EDF Energy Renewables,,
England,Red House,Lincolnshire,Senvion MM82,6,2.05MW,12.3MW,80,,12.3MW,,EDF Energy Renewables,,
England,Deeping St Nicholas,Lincolnshire,Senvion MM82,8,2.05MW,16.4MW,80,,16.4MW,,EDF Energy Renewables,,
England,Glass Moor,Cambridgeshire,Senvion MM82,8,2.05MW,16.4MW,80,,16.4MW,,EDF Energy Renewables,,
England,Red Tile,Cambridgeshire,Senvion MM82,12,2.05MW,24.6MW,80,,24.6MW,,EDF Energy Renewables,,
England,Cotton Farm Wind Farm,Cambridgeshire,Senvion MM92,8,2.05MW,16.4MW,100,,16.4MW,Npower Renewables (RWE Group),BayWa,,
England,Yelvertoft Wind Farm,Northamptonshire,Senvion MM92,8,2.05MW,16.4MW,51.6,Swiss Life Asset Management,16.4MW,,AES,,
England,Earl's Hall Farm Wind Farm,Essex,Senvion MM92,5,2.05MW,10.25MW,100,,10.25MW,Npower Renewables (RWE Group),BayWa,,
England,London Array,Kent,Siemens,175,3.6MW,630MW,13.7,RWE and CDPQ and Masdar and Schroders Greencoat,630MW,,Orsted,,
England,Little Cheyne Court Wind Farm,Kent,Nordex N90,26,2.3MW,59.8MW,41,,59.8MW,,Innogy,,
Wales,Rhyl Flats,Conwy,Siemens,25,3.6MW,90MW,24.95,UKGIB and Innogy,90MW,,RWE and UKGIB,,
Wales,North Hoyle,Denbighshire,Vestas V80,30,2MW,60MW,100,,60MW,Innogy,JP Morgan Asset Management,,
England,Burbo Bank Extension,Merseyside,Vestas,32,8.13MW,258MW,15.7,Orsted and Kirkbi and Greencoat Capital,258MW,,AIP,,
Wales,Maerdy Wind Farm,Glamorgan,Siemens,8,3.0MW,24MW,100,,24MW,Renewable Energy Partnerships,Velocita,,
Northern Ireland,Brockaghboy Wind Farm,County Londonderry,Nordex,19,2.5MW,47.5MW,100,,47.5MW,,ERG Power Generation,,
Northern Ireland,Slieve Divena II,Tyrone,Enercon E-92,8,2.35MW,18.8MW,100,,18.8MW,,SSE,,
Northern Ireland,Slieve Divena,Tyrone,Nordex N80,12,2.5MW,30MW,100,,30MW,SSE,JP Morgan Asset Management,,
Northern Ireland,Screggagh Wind Farm,Tyrone,Nordex,8,2.5MW,20.0MW,100,,20.0MW,,,,
Northern Ireland,Tappaghan Wind Farm,Fermanagh,GE,13+6,1.5MW,28.5MW,100,,28.5MW,,SSE,,
Northern Ireland,Bin Mountain Wind Farm,Tyrone,GE,6,1.5MW,9MW,100,,9MW,,SSE,,
Northern Ireland,Church Hill Wind Farm,Tyrone,Enercon,8,2.3MW,18.4MW,100,,18.4MW,,Irish Infrastructure Fund and Viridian,,
Northern Ireland,Crighshane Wind Farm,Tyrone,Enercon,14,2.3MW,32.2MW,100,,32.2MW,,Irish Infrastructure Fund and Viridian,,